age,income,employment_years,credit_score,existing_loans,loan_amount,utilization_ratio,late_payments,debt_to_income,risk
59,31310.69316300626,7,486,4,13940.595320453305,0.24820742846531874,0,0.4452343245126297,1
49,38853.3436565054,26,797,4,15678.381832209148,0.3312323785461665,5,0.40352722202800795,1
35,51357.52581351893,14,660,0,1000.0,0.4834543778584748,3,0.019471342985466957,0
63,91292.394823215,12,748,5,15133.6590779038,0.9004733109292309,1,0.16577130118242248,1
28,55064.98675802249,15,480,4,1000.0,0.6159932104156212,3,0.018160360310162223,1
41,50628.621544036,21,429,0,5232.395432009034,0.9688565070832704,5,0.10334856593829987,1
59,26530.3040064777,19,448,0,4317.419689955959,0.19294991675297546,1,0.16273540208592438,1
39,46866.30419779778,12,771,2,6659.334771729391,0.5141578722858414,0,0.14209216804516686,0
43,35341.27292018339,19,799,0,10609.169122941978,0.4771706770408458,0,0.30019204873866,0
31,39936.403381544005,1,654,5,11108.059075636118,0.6401855587653715,1,0.2781437018629859,0
31,62399.01360317485,34,510,5,20314.201634057004,0.8307681478368204,0,0.3255532493389194,1
44,51976.71588777645,18,329,4,16779.102513077574,0.8573032230247541,1,0.3228195977080494,1
56,93989.88905342692,36,323,3,1000.0,0.7031751478349575,2,0.010639442285452294,1
60,81560.06745414954,5,521,2,15666.357100374462,0.6773827278209983,0,0.19208367022478967,1
44,47822.32124379322,13,700,5,17546.04197266742,0.9541265878403268,1,0.3669006755907878,1
23,41663.6431651897,3,811,4,12371.467869976335,0.4453186614745822,2,0.29693677581015754,0
42,87652.83871328385,21,387,4,14512.91218474638,0.8495049827696395,2,0.16557264314301023,1
22,93200.84978966966,38,764,2,16522.481003176454,0.9293533543830647,0,0.1772782226821262,1
44,20000.0,35,349,2,21116.796781084642,0.5423853198386772,1,1.055839839054232,1
64,61857.15247943403,33,402,4,2400.9601002981235,0.7561923207429703,1,0.03881459142653525,1
50,54962.43384206545,26,667,3,13045.463690882809,0.4393178710038155,2,0.23735236558790224,0
58,72982.40280119874,6,791,1,27066.688784461832,0.24299111277586366,0,0.3708659587187127,0
22,98853.36248323007,2,567,4,26333.29046638365,0.6278534933251827,0,0.26638740256155624,1
41,50318.85961344403,32,696,2,21807.49542220624,0.27682448576457874,1,0.43338612181862296,0
53,20000.0,1,619,0,19294.597471645407,0.5118392177234822,2,0.9647298735822704,1
32,71580.15400298528,15,819,0,28237.077987216708,0.8855913819954999,1,0.39448193958955535,1
42,87799.28137208405,24,748,2,30342.784012853328,0.17741636880731249,1,0.34559262375125627,0
64,53924.804369604506,14,775,2,13967.360095625181,0.12738568209818468,1,0.2590154986913237,0
45,45899.25039720678,23,539,1,7244.540453693439,0.6458300626436988,2,0.15783570300168365,1
47,51254.811892446014,14,557,5,12837.661459004039,0.39795519393540557,1,0.25046743876346306,1
62,77004.1073426247,30,689,2,39773.56411017643,0.47614393623332374,3,0.5165122417847995,0
48,50910.78117430039,13,642,0,2445.1492581984458,0.4651395297924984,2,0.04802812295940078,0
36,66575.20600685691,13,686,3,11235.686883764662,0.17795820610860721,2,0.16876683614929322,0
35,60556.0583147988,5,693,2,3698.4707800589495,0.10320978941163511,1,0.061075157184646386,0
64,58492.40775154468,13,569,1,15998.110903019082,0.9085809185778378,2,0.27350747760245175,1
23,74025.84653504466,16,448,3,5378.47176884106,0.2960187048133718,2,0.07265667358893128,1
